Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method '_invoke_schema_validators',in Class 'EmbedPrototypeSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for method '_run_validator',in Class 'EmbedPrototypeSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for method '_eject',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method '_inject',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method '_make_notify_changed_config_embed',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method '_match_config_name',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'changed_config_uploaded',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'compare_configs',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'config_to_set',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'get_notify_roles',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'notify',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'refresh_command_aliases',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'save_command_aliases',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method 'update',in Class 'ConfigCog', in module 'config_cog', with path 'antipetros_discordbot/cogs/bot_admin_cogs/config_cog.py'

Missing Docstring for method '_eject',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method '_inject',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'add_give_away',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'cog_after_invoke',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

