Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method 'rstrip',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'capitalize',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'count',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rstrip',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'capitalize',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'count',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rstrip',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'capitalize',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'count',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rstrip',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method '_execute_pragmas',in Class 'AioGidSqliteActionBase', in module 'db_action_base', with path 'antipetros_discordbot/utility/gidsql/db_action_base.py'

Missing Docstring for method '_handle_error',in Class 'AioGidSqliteActionBase', in module 'db_action_base', with path 'antipetros_discordbot/utility/gidsql/db_action_base.py'

Missing Docstring for method '_execute_pragmas',in Class 'GidSqliteActionBase', in module 'db_action_base', with path 'antipetros_discordbot/utility/gidsql/db_action_base.py'

Missing Docstring for method '_handle_error',in Class 'GidSqliteActionBase', in module 'db_action_base', with path 'antipetros_discordbot/utility/gidsql/db_action_base.py'

Missing Docstring for method '_execute_pragmas',in Class 'AioGidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method '_handle_error',in Class 'AioGidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method 'disable_row_factory',in Class 'AioGidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method 'enable_row_factory',in Class 'AioGidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method 'query',in Class 'AioGidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method '_execute_pragmas',in Class 'GidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method '_handle_error',in Class 'GidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method 'disable_row_factory',in Class 'GidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method 'enable_row_factory',in Class 'GidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method 'query',in Class 'GidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for method '_execute_pragmas',in Class 'AioGidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for method '_handle_error',in Class 'AioGidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for method 'write',in Class 'AioGidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for method '_execute_pragmas',in Class 'GidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for method '_handle_error',in Class 'GidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for method 'write',in Class 'GidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for method 'aio_query',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'aio_startup_db',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'aio_vacuum',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'aio_write',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'new_phrase',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'query',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'startup_db',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'vacuum',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'write',in Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'new_phrase',in Class 'GidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'query',in Class 'GidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for method 'startup_db',in Class 'GidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

